link_id,from_node,to_node,avg_queue,avg_inflow_per_min,avg_outflow_per_min,travel_time_min,dominant_phase,free_flow_time,delay_ratio
1,1,2,16774.64999241675,479.10976149646757,278.21770393388385,46.22565415228091,3,6.0,7.704275692046818
2,1,3,19290.70954786022,507.59764508574403,256.0320461069837,55.176749830872495,3,4.0,13.794187457718124
3,2,1,18849.796334817736,516.220781385331,279.87538667572557,51.507817812185955,3,6.0,8.584636302030992
4,2,6,26226.968831620314,490.84759970030274,61.717494754249834,1255.9837634876812,2,5.0,251.19675269753625
5,3,1,20339.907670513105,526.7469481738598,257.5529926076781,58.141329943351195,3,4.0,14.535332485837799
6,3,4,36647.346184441136,771.7458747740368,207.00236298700597,164.6891501241298,2,4.0,41.17228753103245
7,3,12,14326.492984340151,418.0617841187741,250.73494694256684,41.520911851896315,3,4.0,10.380227962974079
8,4,3,34373.58270466741,732.5631671294193,206.56868991219085,150.66150996209154,2,4.0,37.665377490522886
9,4,5,35223.28371397279,752.7148649419873,214.58922497891209,133.32601503214477,2,2.0,66.66300751607238
10,4,11,36605.943244622475,667.2487341614667,61.666500943337,4435.306074197086,2,6.0,739.2176790328476
11,5,4,29171.700427188272,648.0891791403592,213.1865258686987,107.28578767700591,2,2.0,53.64289383850296
12,5,6,30402.90162859606,561.944786915953,61.84045837139935,1666.3099992349173,2,4.0,416.5774998087293
13,5,9,29846.776810622985,595.9200836450516,122.32508894647953,306.6603043278107,2,5.0,61.33206086556214
14,6,2,30158.339133421206,557.8700809268412,61.95271476050447,1927.7430135473328,2,5.0,385.54860270946654
15,6,5,29210.804441976175,541.6404288722518,61.78207617804905,1474.7771568959388,2,4.0,368.6942892239847
16,6,8,32793.68228952084,602.2252435927512,61.35491016102591,1291.8051761152194,2,2.0,645.9025880576097
17,7,8,28119.644791785136,548.0746511062819,96.4840064186408,357.310504530449,2,3.0,119.10350151014967
18,7,18,12939.088624767075,393.2516758715949,249.6290629409216,35.48217359197641,3,2.0,17.741086795988206
19,8,6,37010.63372670574,674.0477423079818,61.559653783036076,1849.137816487423,2,2.0,924.5689082437115
20,8,7,27295.605976134586,533.976082436217,96.39955558926698,337.22984456746633,2,3.0,112.40994818915544
21,8,9,21240.266699885313,406.5329464903013,62.45739557378261,1078.6452512823803,2,10.0,107.86452512823803
22,8,16,22556.681340047195,428.9748339720471,62.50963439052042,780.9903918756403,2,5.0,156.19807837512806
23,9,5,27414.81142557079,554.1784303926171,121.98147014981579,261.16678571900775,2,5.0,52.23335714380155
24,9,8,23170.97081187983,439.4964693385053,62.60676632432012,1400.316373694073,2,10.0,140.0316373694073
25,9,10,30218.910031577318,634.7870558663067,168.43156788483725,158.54550151640757,2,3.0,52.84850050546919
26,10,9,28141.173156942397,598.982383460643,168.0352828063341,144.3538738165324,2,3.0,48.117957938844135
27,10,11,39676.64865523411,764.2365828635255,123.4291968333988,574.6316686434945,2,5.0,114.9263337286989
28,10,15,40687.72912475286,811.3649717968134,165.33636924413815,338.32071808557197,2,6.0,56.386786347595326
29,10,16,20193.626500605504,386.9581259889241,60.019265950206275,567.3879176741755,2,4.0,141.84697941854387
30,10,17,13554.998765518681,274.4190651393339,60.89255722694966,312.71813357402937,2,8.0,39.08976669675367
31,11,4,40820.1107309303,738.9268153087343,61.80460831377088,6493.775150787193,2,6.0,1082.295858464532
32,11,10,43150.97768393828,823.6599387879941,123.77170626181632,711.2667810688104,2,5.0,142.25335621376206
33,11,12,20484.69631462495,392.39847814892033,60.692569970370755,732.6440130019967,2,6.0,122.10733550033278
34,11,14,40414.648449886045,731.7369015496052,61.39344320551757,4443.4713741008645,2,4.0,1110.8678435252161
35,12,3,20031.634214512662,521.1182078502354,257.1026976773233,57.26706713282654,3,4.0,14.316766783206635
36,12,11,21089.30744031082,402.73734694018987,60.75068149883985,792.2469175281028,2,6.0,132.04115292135046
37,12,13,16965.07308115752,482.51512903003305,278.36970570470595,43.00352705036062,3,3.0,14.334509016786873
38,13,12,19285.999766196306,524.1630230107635,280.44481552686426,48.65594218458378,3,3.0,16.21864739486126
39,13,24,16048.490017239137,318.03425055083557,62.39932083210349,311.53011523510906,2,4.0,77.88252880877727
40,14,11,43941.31813218072,791.7131374172213,61.50332390741872,5947.111832812334,2,4.0,1486.7779582030835
41,14,15,10424.67946482597,221.663268197055,61.926260699750166,160.9325476552884,2,5.0,32.18650953105768
42,14,23,19511.6565406491,375.88697480148267,60.78339847919274,505.61246249147075,2,4.0,126.40311562286769
43,15,10,37138.62227270011,750.4489783025032,164.8349065863104,281.8961646290156,2,6.0,46.98269410483593
44,15,14,12746.02542211677,261.65491633458475,62.36108408689219,220.0580977470599,2,5.0,44.011619549411975
45,15,19,15496.416994313004,380.0213745034249,165.0526901256607,69.54096547142497,3,3.0,23.180321823808324
46,15,22,18548.400793214485,398.300385989985,115.74688112817637,136.22456624419073,2,3.0,45.40818874806357
47,16,8,26267.165719782224,492.2982097945438,62.77782149660497,1198.0909448251273,2,5.0,239.61818896502547
48,16,10,15276.719870259898,302.81110565607037,59.49893037049775,310.48251601071297,2,4.0,77.62062900267824
49,16,17,6621.066531122727,156.1088163802832,61.41942123239392,81.04645343795272,3,2.0,40.52322671897636
50,16,18,23293.937979549642,557.3663549154779,227.93321697268252,77.77070462460601,3,3.0,25.923568208202003
51,17,10,13514.95043962354,273.7316855643076,60.88689869347007,310.82103865029353,2,8.0,38.85262983128669
52,17,16,7183.017375154859,166.39748352009312,62.32799063517498,88.3911266698992,2,2.0,44.1955633349496
